0,1,2
58,US troops in Afghanistan begin packing gear in pullout prep,"The US military has begun shipping equipment and winding down contracts with local service providers ahead of ... Read More

KABUL: The US military has begun shipping equipment and winding down contracts with local service providers ahead of the May 1 start of the final phase of its military pullout from Afghanistan , a US Defense Department official said Thursday.

The pullout under US President Joe Biden marks the end of America's longest war after a 20-year military engagement. Currently, some 2,500 US soldiers and about 7,000 allied forces are still in Afghanistan.

In February last year, the US military began closing its smaller bases. In mid-April, the Biden administration announced that the final phase of the withdrawal would begin May 1 and be completed before Sept. 11.

Since then, the military has been shipping equipment and winding down local contracts for services such as trash pickup and maintenance work, the US official told The Associated Press, speaking on condition of anonymity in line with briefing regulations.

While preparations are under way, troops likely won't begin to depart for a few weeks, he said, adding that ""we won't see a coming down of the (troop) numbers"" until remaining bases close.

There have been indications that the pullout could be completed well before Sept. 11, which marks the 20th anniversary of the al-Qaida terror attack on the U.S. and the trigger for the US invasion of Afghanistan.

On Wednesday, Germany's Defense Ministry said discussions are underway among military planners with the NATO-led Resolute Support Mission in Kabul for a possible withdrawal of international troops from Afghanistan as early as July 4.

In the short term, America will likely increase its troop presence in Afghanistan, the Pentagon said last Friday. The additional troops would be in Afghanistan over the coming weeks and months to help with what the herculean task of wrapping up 20 years of war.

While much of the equipment headed back to the US will be shipped by air, the military will also use land routes through Pakistan and north through Central Asia, the Defense Department official said.

The U.S. equipment that is neither shipped back to America nor given to the Afghan National Security forces will be sold to contractors, who will, in turn, sell it in the local markets.

""You'll most likely start seeing it eventually showing up in bazaars as scrap,"" said the official.

The Taliban, meanwhile, were non-committal when asked by the AP whether the insurgents would attack departing US and NATO troops. ""It's too early for these issues, nothing can be said about the future,"" said Taliban spokesman Mohammad Naeem.

In a deal the Taliban signed last year with former President Donald Trump , the final US withdrawal deadline was set as May 1. Under the agreement, the Taliban promised not to attack US and NATO troops but they also later promised ""consequences"" if Washington defied the May 1 deadline.

"
59,Hong Kong journalist convicted for accessing public records,"Choy Yuk-ling was arrested in November on charges of falsely declaring why she was obtaining license plate inf... Read More

HONG KONG: A Hong Kong journalist was found guilty on Thursday of making false statements in obtaining information for an investigation into an attack on anti-government protesters, in the latest blow to press freedom in the city as authorities continue their crackdown on dissent.

Choy Yuk-ling , also known as Bao Choy, was arrested in November on charges of falsely declaring why she was obtaining license plate information from a publicly accessible database. She was attempting to track down the perpetrators of a violent attack by a mob of white-clad men on protesters in a subway station in 2019 for an investigative documentary for public broadcaster RTHK.

Principal Magistrate Ivy Chui said the Road Traffic Ordinance only allows the public to obtain vehicle ownership records for transport or traffic-related matters, legal matters, or for vehicle purchases.

She said Choy declared in her online application that she would use the information for ""other traffic and transport related issues."" The application does not provide an option for journalistic research.

Choy, a freelancer affiliated with RTHK , pleaded not guilty. She was convicted on two counts of making false statements and fined 6,000 Hong Kong dollars ($775).

The documentary Choy was working on, titled 7.21 Who Owns the Truth , also explored the behavior of Hong Kong police during last year's anti-government protests. Police were accused of not intervening during the attack in the subway station.

Ahead of the court session, supporters of Choy held placards that read ""Journalism is not a crime"" and chanted slogans.

Media groups are concerned that Hong Kong's new security law, which outlaws secession, subversion and foreign collusion to interfere in the city's internal matters, could be used against journalists reporting on issues considered related to national security.

"
60,China says ready to help but India looks elsewhere for oxygen,"NEW DELHI: With India reeling under the Covid-19 pandemic, China said Thursday it stood ready to provide India with necessary support and assistance to get the situation under control.However, while India is looking to import oxygen from abroad as the union health ministry had said last week, official sources said China was not among the countries India was looking to source oxygen from. India for now has identified potential sources mainly in the Gulf and Singapore.Describing Covid-19 as a common enemy of all mankind that necessitated international solidarity and mutual assistance, the Chinese foreign ministry said Thursday Beijing had taken note of the recent ""grave situation in India with a temporary shortage of anti-epidemic medical supplies"".India had sourced medical equipment from China last year but mainly through commercial agreements. Both India and China have supplied Covid-19 vaccines to south Asian countries even though countries like Sri Lanka and Nepal started to accept Chinese vaccines only after supplies from India dried up. Faced with a grim domestic situation, India is no longer allowing vaccine export as it was earlier, even though it hasn't officially banned it.China was Thursday reported to have convened another meeting with countries in the region including Nepal, Bangladesh and Sri Lanka for a coordinated response to the pandemic. Apart from these 3 countries, the Maldives has also asked the Indian government to ensure that the Serum Institute of India honours the commercial agreements signed with them for the Covishield vaccine.In the case of Bangladesh, Dhaka had signed a contract for 30 million doses of the vaccine but, according to the Bangladesh media, Serum has supplied only 7 million doses since January.India ambassador to Bangladesh Vikram Doraiswami assured Dhaka Thursday that India was working on increasing the availability and supply of vaccines.Bangladesh too said Thursday that while it was making efforts to procure the remaining vaccines in accordance with the agreement signed with Serum, it was also making an effort to procure vaccines from China and Russia under a commercial agreement or joint production. ""Bangladeshâs diplomatic missions in China and Russia are in communication with the governments of those countries as well as the vaccine manufacturing companies there,"" said Bangladesh foreign secretary Masud bin Momen."
60,China willing to help India in Covid-19 fight,"BEIJING: China is willing to help India as it fights a surge in coronavirus cases, the Chinese foreign ministry said on Thursday.China is aware that the epidemic in India has been severe recently, and there is a temporary shortage of necessary materials for epidemic prevention, said Wang Wenbin , a spokesman at the foreign ministry. He was responding to a question at a regular media briefing about what action China is taking in view of the spreading epidemic in India.""China is willing to provide the necessary support and help,"" Wang said, without giving details of what such assistance might consist of. ""The novel coronavirus is a common enemy of all mankind, and the global community needs to unite as one to fight against epidemics.""India recorded nearly 315,000 new coronavirus infections on Thursday and its health services are struggling to cope. Health officials in northern and western India said they were in crisis, with most hospitals full and running out of oxygen."
61,Pope warns Earth heading for self-destruction without action,"ROME: Pope Francis warned Thursday that the world is âon a path of self-destructionâ if political leaders fail to courageously use the Covid-19 pandemic as a chance to make the planet a fairer and greener place.In a video message released on World Earth Day , Francis said political leaders have an opportunity to âcome out betterâ following lessons learned about the social injustices laid bare during the pandemic.âBoth global catastrophes, Covid and the climate, show that we don't have time to waste,"" Francis said.âTime is pressing on us and, as Covid-19 has shown, we do have the means to meet the challenge. We have the means. It's time to act, we're at the limit.â Francis has made his environmental appeal a hallmark of his papacy, denouncing how wealthy countries have plundered God's creation for profit at the expense of poor and indigenous peoples.In his message, Francis said the adversity humanity has faced in the pandemic should drive leaders to pursue innovation and invention to better protect the planet.He appealed to âall leaders of the world: to act boldly, act fairly, and always tell the truth to people, so that people know how to protect themselves from the destruction of the planet and how to protect the planet from the destruction that many times we trigger.â"
62,UK-India full trade deal is in sight: London think tank,"LONDON: A free trade agreement between the UK and India ""is very much a possibility"", according to a new briefing paper by London think tank Institute of Economic Affairs ( IEA ) published ahead of the virtual call between PMs Narendra Modi and Boris Johnson on Monday.

The paper, authored by Indian-origin IEA academic fellow Shanker Singham, who served as trade adviser to the US government and is a member of the Bretton Woods Committee, also states that the UK and India are set to announce an enhanced trade partnership (ETP).

He said that whilst a trade deal would lead to a substantial increase in bilateral trade flows, it would have an even more significant role to play in terms of the geo-strategic dimension as India could be brought into an alignment of nations, including the US, UK and Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP) members, as a bulwark against the threat from China.

""Chinaâs threat is in large measure based on its network of anti-competitive market distortions, its state-owned enterprises and the projection of its market distorting practices on the rest of the world. The India-UK relationship could play a significant role in the containment of these practices,"" it states. ""The potential for the UK to use the ETP, and even the launch of FTA negotiations to lock the Indian government into a broader coalition of willing partners could be a game-changer for the Indo-Pacific region.""

The UK, India and the existing CPTPP countries constitute around half of the global economy.

""Many countries have sought to do a trade deal with India, but these have proved notoriously difficult to close. It is possible that the UK has the key to unlock the Indian puzzle,"" Singham writes.

He states an FTA would have commercial benefits to both countries. The UK would like to see Scotch whisky tariffs reduced and greater access for UK financial, legal and professional services in India. India wants the UK to be more accommodating of business and student visas, in particular for IT executives. If the UK lowers its tariff schedule further below the EUâs Common External Tariff and diverges from EU bans on products, then Indian agriculture could substantially benefit too, it adds.

But the report warns that FTAs are ""irrelevant if the rule of law and contracts are flouted, or if anticompetitive market distortions are the order of the day"".

Citing the cases of Vodafone, Cairn Energy and Devas Multimedia Pvt Ltd, the report raises concerns that the Indian government is ""systematically breaking bilateral investment treaties (BITs), ignoring court and arbitration rulings, cancelling contracts, expropriating private property and using state institutions to prosecute the very parties whose rights they should be protecting"".

Singham urges Johnson in his talks with Modi to push the Indian government to recognise and respect its existing commitments under bilateral investment treaties.

""Future British investors in India will expect the Indian government to abide by the BIT, including arbitration judgments. If this cannot be certain, then why would any investor feel confident about the provisions of a future FTA?"" the report asks.

"
63,Search for Indonesia submarine focuses on oil slick off Bali,"Indonesia's navy is searching for the submarine that went missing north of the resort island of Bali with a nu... Read More

JAKARTA: Indonesia's navy ships are intensely searching the waters where one of its submarines was last detected before it disappeared with 53 people on board, as neighboring countries are set to join the complex operation.

The KRI Nanggala 402 was participating in a training exercise Wednesday when it missed a scheduled reporting call. Officials reported an oil slick and the smell of diesel fuel near the starting position of its last dive, about 96 kilometers (60 miles) north of the resort island of Bali .

Indonesia's military said that five navy ships and a helicopter were taking part in the search while a hydro-oceanographic survey ship equipped with underwater detection capabilities is on its way to the site around the oil spills. Officials said they had not yet been linked to the missing submarine.

Rescue ships from Singapore and Malaysia are expected to arrive Saturday. The military said Australia, the United States , Germany, France, Australia, Russia, India and Turkey have also offered assistance.

Some worry that the area may be too deep to locate or retrieve the ship, suggesting potential challenges facing the search operation.

""There looks like a terrible tragedy and it's in a very deep part of waters, 700 or 800 meters (2,297 feet or 2,625 feet) deep potentially,"" Australian Defense Minister Peter Dutton told Sydney Radio 2GB .

""It makes it very difficult for the recovery or for location. But there's some assistance that potentially we can apply and the Chief of the Defense Force (Angus Campbell) obviously reached out to his counterpart to say whatever Australia can provide, we will,"" he said.

The submarine was carrying 49 crew members, its commander and three gunners, the Indonesian Defense Ministry said.

The navy said an electrical failure may have occurred during the dive, causing the submarine to lose control and become unable to undertake emergency procedures that would have allowed it to resurface. It said it believes the submarine sank to a depth of 600-700 meters (2,000-2,300 feet).

The German-built submarine, which has been in service in Indonesia since 1981, was rehearsing for a missile-firing exercise that was to take place on Thursday. Military chief Hadi Tjahjanto and other military leaders were to attend.

Indonesia currently has a fleet of five submarines and plans to operate at least eight by 2024.

The world's largest archipelago nation with more than 17,000 islands has faced growing challenges to its maritime claims in recent years, including numerous incidents involving Chinese vessels near the Natuna islands.

Last year, president Joko widodo reaffirmed the country's sovereignty during a visit to the islands at the edge of the South China Sea , one of the busiest sea lanes where China is embroiled in territorial disputes with its smaller neighbors.

His visit came a week after Chinese foreign ministry spokesperson Geng Shuang insisted that Chinese fishermen are free to conduct activities in areas China claims as its traditional fishing grounds, which partly overlap Indonesia's exclusive economic zone.

Geng's statement drew indignation in Indonesia and prompted the military to increase its forces at the islands. Although China has been making such claims for years, recently dozens of Chinese fishing boats, escorted by coast guard vessels, have reportedly made more aggressive moves in the area and ignored Indonesian warnings to leave.

"
64,"Sanctions-battered Iran, weary of pandemic, faces worst wave","TEHRAN: As Iran faces what looks like its worst wave of the coronavirus pandemic yet, Tehran commuters still pour into its subway system and buses each working day, even as images of the gasping ill are repeatedly shown on state television every night.After facing criticism for downplaying the virus last year, Iranian authorities have put partial lockdowns and other measures back in place to try and slow the virus' spread.But in this nation of 84 million people, which faces crushing US sanctions, many struggle to earn enough to feed their families. Economic pressure, coupled with the growing uncertainty over when vaccines will be widely available in the Islamic Republic, have many simply giving up on social distancing, considering it an unaffordable luxury. That has public health officials worried the worst of the pandemic still may be yet to come.""I cannot stop working,"" said Mostafa Shahni, a worried 34-year-old construction worker in Tehran. ""If I do, I can't bring home bread for my wife and two kids.""Iran is now reporting its highest-ever new coronavirus case numbers - more than 25,000 a day. Its daily death toll has surged to around 400, still below the grim record of 486 it reached in November.During the peak of Iran's last surge, around 20,000 coronavirus patients were hospitalized across the country. Today, that figure has topped 40,000. The health ministry warns the number will climb to 60,000 in the coming weeks. Iran remains among the hardest-hit countries in the world and the worst-hit in the Middle East.Across Tehran, Associated Press journalists have seen signs of the pandemic's toll.At Tehran's Shohadaye Tajrish Hospital, orderlies pushed the bodies of two victims of the coronavirus across a parking lot to its morgue, one wrapped in white, the other in a black body bag. All of its wards on five floors of the hospital are reserved for coronavirus patients. One empty gurney held a bouquet of roses left for a recently deceased man. A heart-shaped balloon hovered over a still respirator.At the massive Behesht-e-Zahra cemetery, already reeling from the pandemic, workers laid cinder-block rows of new graves. Mourners in black wept at a stream of funerals. Officials plan to open a new morgue at the site to handle the wave of death, much wrought by what Iranians simply call ""corona.""Saeed Khal, the director of Tehran's main cemetery, said workers buried 350 bodies there on Tuesday alone - at least 150 had died of coronavirus. The cemetery had never processed that many burials in a single day, not even during Iran's war with Iraq in the 1980s that saw 1 million people killed.It was ""one of the hardest and saddest days for my colleagues in the half-century-history of the cemetery,"" Khal told state TV.So much is the influx that some burials are being delayed by a day, unusual for Iran which follows the Islamic practice of immediately burying the dead.Outside the gates of Tehran's Imam Khomeini Hospital complex, where the capital's poor can receive free treatment at its 1,300 beds, scores crowded around one recent day as guards turned away routine cases and allowed in only test-confirmed coronavirus cases.""They say the wards are full of corona patients,"" said Manijeh Taheri, who sought a regular thyroid treatment for her mother at the hospital. ""I have no idea where to take her when such a huge complex has no place for my mother.""Field hospitals are being prepared in Tehran and other major cities. State TV has shown images at hospitals outside the capital with patients being treated in hallways.""We are not going out of the red zone any time soon,"" Deputy Health Minister Alireza Raisi told state media.President Hassan Rouhani blames the current surge on the fast-spreading variant of the virus first found in Britain, which the government says arrived from neighboring Iraq. Travel between the countries has been restricted since March, though people and commerce continue to cross each day. Overall, Iran has seen 2.2 million reported cases and 67,000 deaths in total.Lawmaker Jalil Rahimi Jahanabadi blamed government mismanagement and continued US sanctions for the virus' spread.""Sanctions, challenges and wrong decisions will continue. We do not have sufficient vaccines so protect yourself and your relatives through personal health measures,"" he wrote on Twitter.As of now, Iran has administered over 500,000 vaccine doses, according to the WHO. Supplies, however, remain limited. Iran's Supreme Leader Ayatollah Ali Khamenei has banned US and British-made coronavirus vaccines, saying their import is ""forbidden"" because he does not trust those nations. Khamenei has approved the import of vaccines from ""safe"" countries, such as China and Russia, and has backed national efforts to produce a homegrown vaccine with help from Cuba.But officials keep changing when they say the wider public will be vaccinated as it remains unclear when Tehran will have a promised 60 million doses of Russia's Sputnik V vaccine.Amir Afkhami, an associate professor at George Washington University, said that over the past year, Iran's leadership could point to superpowers like the U.S. struggling to contain the virus. With vaccines rolled out in the West and economies reopening, this could become much more difficult to do, he said.""Ultimately Iran is not self-sufficient when it comes to Covid-19 vaccine development, and it doesn't have the (intensive care unit) beds to absorb the patients it needs to so it really needs external help,"" Afkhami said.Authorities across Iran have closed mosques, restaurants and parks during Ramadan, the Islamic holy fasting month being observed by Muslims around the world. An evening curfew for private cars is in place and travel between cities is banned. Parliament has been suspended for two weeks.But the wider fatigue from the virus has seen people ignore warnings and host fast-breaking meals known as iftars indoors. Already, authorities blamed celebrations around the Iranian New Year known as Nowruz in March for contributing to this wave.Masoud Mardani, an infectious disease specialist on Iran's Covid-19 national task force, has demanded a public curfew. But none so far has come."
79,Registration for Covid vaccination on CoWIN for those above 18 to begin from April 28,"Registration for vaccination against Covid-19 for all those aged above 18 will begin on the CoWIN platform and Aarogya Setu app from April 28, officials said on Thursday.

The inoculation process and documents to be submitted to get the jab remains the same.

The central government had announced that the vaccination for those above 18 years will begin across the country from May 1 as part of the third phase of the inoculation drive.

Certain modifications, including the age criteria and a few other features, have been done and the CoWIN platform is ready to meet the rising demand as is expected once the vaccination for all is opened up, an official said.

From May 1, the present system of private Covid-19 vaccination centres receiving doses from the government and charging up to Rs 250 per dose will cease to exist and private hospitals will procure directly from vaccine manufacturers.

According to the Liberalised Pricing and Accelerated National Covid-19 Vaccination Strategy, Covid-19 vaccination will continue to be free for eligible population groups comprising healthcare workers, frontline workers and people above 45 years of age in government vaccination centres, which receive doses from the government of India.

Vaccine manufacturers would make an advance declaration of the price for 50 per cent supply that would be available to state governments in the open market before May 1.

Based on this price, states, private hospitals, industrial establishments may procure vaccine doses from manufacturers.

Private hospitals would have to procure their supplies of Covid-19 vaccine exclusively from the 50 per cent supply earmarked for other than the government of India channel.

“While the Centre has liberalised the vaccination policy, it does not mean that vaccines will be sold in pharmacists or chemist shops in the open market,” health secretary Rajesh Bhushan had clarified on Wednesday.

The price charged for vaccination by private hospitals would be monitored, he said.

“The present dispensation where private Covid vaccination centres receive doses from the government and can charge up to Rs 250 per dose will cease to exist,” the Union health ministry said.

Vaccine manufacturers would supply 50 per cent of their monthly Central Drugs Laboratory (CDL) released doses to the government of India and would be free to supply the remaining 50 per cent doses to state governments and in the open market.

For government of India vaccination centres, the eligible population would be the same, which exists today, that is healthcare workers (HCWs), frontline workers (FLWs) and population above 45 years of age.

For other than the government of India channel, the eligibility would be all adult citizens of the country, the document said.

Vaccination against Covid-19 will continue to be free for eligible population groups in all those government Covid vaccination centres which receive vaccine doses from the central government.

All vaccination (through government of India vaccination centres and other than the government of India channel) will be part of the National Vaccination Programme, will follow all existing guidelines, will be captured on the CoWIN platform along with the stocks and price per vaccination applicable in all vaccination centres, will comply with Adverse Event Following Immunization (AEFI) management and reporting, digital vaccination certificate and all other prescribed norms.

The division of vaccine supply, which would mean 50 per cent to the government of India and 50 per cent to other than the government of India channel would be applicable uniformly across for all vaccines manufactured in the country.

However, the fully ready to use imported vaccine would be allowed to be utilised entirely in the other than government of India channel, it said.

The Centre from its share will allocate vaccines to states and union territories based on the criteria of performance (speed of administration, average consumption), extent of infections (number of active Covid-19 cases), the document stated.

Second dose of all existing priority groups i.e. HCWs, FLWs and people aged above 45, wherever it has become due, would be given priority, for which a specific and focused strategy would be communicated to all stakeholders.

This policy would come into effect from May 1 and would be reviewed from time-to-time."
79,Sitaram Yechury’s son dies of Covid-19 at Gurgaon hospital,"Ashish Yechury, CPI(M) General Secretary Sitaram Yechury’s 34-year-old son, died of Covid-19 at Medanta – The Medicity in the early hours of Thursday after a two-week long battle with the infection.

Breaking the news on Twitter at 7.59 am, around two hours after his son’s death, Yechury wrote, “It is with great sadness that I have to inform that I lost my elder son, Ashish Yechury to Covid-19 this morning. I want to thank all those who gave us hope and who treated him – doctors, nurses, frontline health workers, sanitation workers and innumerable others who stood by us.”

It is with great sadness that I have to inform that I lost my elder son, Ashish Yechury to COVID-19 this morning. I want to thank all those who gave us hope and who treated him – doctors, nurses, frontline health workers, sanitation workers and innumerable others who stood by us. — Sitaram Yechury (@SitaramYechury) April 22, 2021

In another tweet put out after his son’s last rites were performed, he said, “I bid goodbye to my son, Ashish (Biku) at noon today. I thank all of you who have shared our sorrow. I thank everybody who gave us strength to be able to face this dark hour. I know that I am not alone in my grief, with this pandemic consuming countless lives.”

I bid goodbye to my son, Ashish (Biku) at noon today.

I thank all of you who have shared our sorrow. I thank everybody who gave us strength to be able to face this dark hour. I know that I am not alone in my grief, with this pandemic consuming countless lives. — Sitaram Yechury (@SitaramYechury) April 22, 2021

An alumni of the Asian College of Journalism (ACJ) in Chennai, Ashish was a journalist who had worked with various publications over the years, including Times of India, Network 18, and Pune Mirror. In January this year, he joined Newslaundry in Delhi, where his colleagues, although having met him only a few times as they were working from home because of the pandemic, described him as “gentle”, “generous”, and “warm”.

“He joined us in January this year and worked as Assistant Editor. He was very gentle and soft-spoken and he had made a name for himself in the industry. He was in Pune before he joined us, he had just moved to Delhi. I had only met him once in his brief time at Newslaundry but I can say that in his short time with us, he won many friends and admirers,” said Manisha Pande, Executive Editor at Newslaundry.

Mehraj D Lone, Senior Editor at Newslaundry said, “He was very intelligent and talented, but as a person also he was always generous, always joking with people, very lively.”

Leaders across party lines, including the Prime Minister as well as the President of India, put out messages on social media to express condolences after hearing of Ashish’s death.

“Condolences to Shri Sitaram Yechury Ji and his family on the tragic and untimely demise of his son, Ashish. On Shanti,” tweeted Prime Minister Narendra Modi on Thursday morning.

Condolences to Shri Sitaram Yechury Ji and his family on the tragic and untimely demise of his son, Ashish. Om Shanti. — Narendra Modi (@narendramodi) April 22, 2021

“Grieved beyond words to learn about the untimely demise of Shri Ashish Yechury. In this moment of profound grief, my deepest condolences to Shri Sitaram Yechury, his family and loved ones. May you find the strength to bear this irreparable loss,” said President Ram Nath Kovind in a tweet.

Grieved beyond words to learn about the untimely demise of Shri Ashish Yechury. In this moment of profound grief, my deepest condolences to Shri Sitaram Yechury, his family and loved ones. May you find the strength to bear this irreparable loss. — President of India (@rashtrapatibhvn) April 22, 2021

West Bengal Chief Minister Mamata Banerjee similarly stated she was “shocked and very saddened” to learn about Ashish’s demise, while Nationalist Congress Party President Sharad Pawar stated he was “deeply saddened”.

“Dear Com. @SitaramYechury, our deepest condolences on the loss of Ashish. Our thoughts are with you and your family during this difficult time,” tweeted Kerala Chief Minister Pinarayi Vijayan."
80,Australia to reduce flights from India among other high-risk COVID-19 countries,"Earlier on Thursday, Western Australian (WA) Premier Mark McGowan sought travel suspension from India after an outbreak in a quarantine hotel in Perth. (File Photo/Representational)

Australian Prime Minister Scott Morrison on Thursday announced a reduction in flights from high-risk COVID-19 nations, like India, following an alarming rise in coronavirus cases across the world.

After a national Cabinet meeting in Canberra, Morrison said: “What we have agreed to — and this particularly relates to the chartered services we’re running into the Northern Territory — we will be reducing by some 30 per cent the numbers coming through our chartered services in the months ahead.”

While the list of high-risk countries was still being finalised, Morrison said the announcement was made keeping in view India’s worsening second wave of the coronavirus. India registered over 3.14 lakh new coronavirus cases on Thursday, the highest-ever single-day count recorded in any country, taking the total tally of COVID-19 cases in the country to 1,59,30,965.

“We will also be limiting the departure exceptions for Australians travelling to high-risk countries to India. As time goes on, and the pandemic continues to rage, there are countries that are frankly of greater risk than others,” Morrison said.

“The Chief Medical Officer, working with others and the DFAT (Department of Foreign Affairs and Trade), will be seeking to put a list of high-risk countries in place,” he said, adding that the list would be similar to that of the UK’s COVID-19 travel “red list”.

Morrison further said new rules to return to Australia would now be applied for those coming from such high-risk nations.

“If you have been in a high-risk country in the previous 14 days, before getting on your last point of embarkation to Australia, then you would need to have had a PCR (polymerase chain reaction) test 72 hours before leaving that last point of embarkation,” Morrison said.

Morrison said these new steps reflect that this is a global pandemic which is raging.

Australians are living like few others anywhere else in the world. We take those border arrangements very seriously. This is a way of matching that risk, the prime minister said, explaining how strict border controls has led to fewer cases in Australia.

“We have been working hard to get Australians home, particularly since last September. And there will continue to be the opportunity for those to return from places like India, but in very controlled circumstances,” he said.

Earlier on Thursday, Western Australian (WA) Premier Mark McGowan sought travel suspension from India after an outbreak in a quarantine hotel in Perth.

McGowan said on April 3, a family of three returned to Perth from the UK and on April 10, a couple returned from India and tested positive for COVID-19 a few days later.

Gowan said genome sequencing linked the strain the two families were now suffering from. He said somehow there was transmission between two rooms with closed doors.

There were another 18 guests on that floor at the time of transmission.

Since the 10th of April, there have been 13 security guards, 31 various hotel staff, one doctor, and two CCTV installers, on that floor. All of these people will be re-tested as soon as possible,” he said. Health authorities are investigating how the transmission occurred.

The coronavirus has so far claimed 910 lives, along with 29,603 confirmed infections, in Australia, according to Johns Hopkins University."
80,UAE bans travel from India amid worsening Covid situation: reports,"The travel ban will come into effect from 11.59 pm on Saturday, April 24, and is subject to review after 10 days. (File Photo)

The UAE has banned travel from India for 10 days from Sunday due to the worsening COVID-19 situation in the country, according to media reports here on Thursday.

The travel ban will come into effect from 11.59 pm on Saturday, April 24, and is subject to review after 10 days, the Gulf News reported.

Passengers who have transited through India in the last 14 days are also not permitted to board from any other point to the UAE, the report said.

However, departure flights will continue to operate, it added.

UAE citizens, diplomatic passport holders and official delegations are exempted from the above conditions, it said.

According to Khaleej Times, people are barred from booking flights from the UAE to Indian destinations after April 24 on the Emirates, Etihad, flydubai and Air Arabia websites.

The UAE is the latest country to impose a travel ban on passengers from India after it recorded the world’s highest daily tally of 314,835 new COVID-19 infections on Thursday."
81,Maharashtra allocated only 50% of daily Remdesivir requirement: state health minister,"Remdesivir is listed for use in serious COVID-19 patients. (File Photo)

Maharashtra Health Minister Rajesh Tope on Thursday said the state is being allocated 26,000 Remdesivir injections per day by the Centre as against the requirement of 50,000 vials of the anti-COVID-19 drug.

Talking to reporters in Mumbai, Tope said he will write to the Centre to increase the allocation of Remdesivir to Maharashtra, the worst COVID-19-hit state in the country.

“The state government’s daily requirement is 50,000 Remdesivir injections, but the Centre’s allocation is 26,000 injections per day. This is for the next 10 days, which is very serious as timely use of the injections to treat co-morbid and serious COVID-19 patients can save lives,” he said.

Remdesivir is listed for use in serious COVID-19 patients. In view of a sudden spike in demand of the drug due to the surge in COVID-19 cases, the Centre last week banned its export till the situation improves.

“I will send a letter to the Union Health Ministry on Thursday to increase the allocation of the key anti-viral drug to Maharashtra,” the minister said.

Tope and state Food and Drug Administration minister Rajendra Shingane few days ago had assured that the supply of Remdesivir will increase from April 21.

On Wednesday, the state reported 67,468 fresh coronavirus cases, taking its tally beyond the 40-lakh mark, while 568 more patients succumbed to the infection, as per the health department.

The Bombay High Court on Wednesday came down heavily on the Maharashtra government for its “extremely callous” behaviour towards the issue of procuring and allocating Remdesivir injections for COVID-19 patients, and said the authorities are shirking their responsibilities."
84,"Arrangements in place for uninterrupted supply of oxygen, medicines: Haryana CM","Arrangements in place for uninterrupted oxygen supply: Lal

Amid the surge in COVID-19 cases, Haryana Chief Minister Manohar Lal on Thursday said adequate arrangements have been made in the State to ensure an uninterrupted supply of oxygen, medicines and other facilities.

Mr. Lal said the government has decided to close shops across the State dealing in non-essential items from 6 p.m. from April 23 onwards.

Responding to question regarding shortage of oxygen supply, Mr. Lalsaid though some difficulty regarding the same was reported but now the problem has been resolved. “I have even held a detailed discussion with PM Modi on this issue. A roster has been made for the filling of oxygen cylinders and then loading these in the trucks from Panipat Oxygen Plant. From now on, one truck will be loaded for Haryana and one each for Delhi and Punjab,” he said.

The Chief Minister said 170 MT of oxygen was supplied to Delhi from 10 p.m. to 6 a.m. on Thursday (April 22) from the Panipat plant. “CM Arvind Kejriwal had expressed satisfaction for the supply of oxygen,” said Mr. Lal.

He added that the Panipat plant has a capacity of producing 260 MT of oxygen per day, of which 140 is supplied to Delhi, 80 to Haryana and 20 to Punjab. He said Haryana also supplied 20 MT of oxygen from Bhiwadi plant in Rajasthan.

On the current status of availability of beds with ventilators for COVID-19 patients in the hospitals, the Chief Minister said that the facility of availability of beds has been made online in Gurugram and Faridabad districts. Mr. Lal said 1,000 Remdesivir injections were supplied in government hospitals till April 21 and the supply will be further increased."
